dataset,label,theta,r2_multi,s1_multi,r1_multi,s1_support,graph_binary,graph_weighted,Phi,accept,Phi_real_start,Phi_random_start,Phi_sd,two_start_gap,n_chains,n_steps,sweeps,projection_fixed,real_r2_multi,real_s1_multi,real_r1_multi,real_s1_support,real_graph_binary,real_graph_weighted,n_events,n_teams,pct_dup,theta_hat
dnc,DNC email,3.0,0.22208867521367526,0.2934615384615385,0.16227564102564104,0.25687295853488973,0.3712311557788945,0.35598503740648374,1154.8611111111065,0.6721423857970686,1165.599999999991,1144.1222222222223,16.913258186081485,0.018426370777083857,6,2000000,124.68827930174564,True,0.19514241314241268,0.3923076923076923,0.06134615384615385,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,3.5,0.2447435897435899,0.3213141025641026,0.18112179487179483,0.2880628850559351,0.3712311557788945,0.35598503740648374,1272.6666666666633,0.6339686293740213,1289.6777777777713,1255.6555555555553,19.246866026752745,0.026380405096875656,6,2000000,124.68827930174564,True,0.19514241314241268,0.3923076923076923,0.06134615384615385,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,4.0,0.2629775641025644,0.3416025641025641,0.19419871794871793,0.3124348812768792,0.3712311557788945,0.35598503740648374,1367.48333333333,0.5929579890366562,1391.311111111103,1343.6555555555572,24.677638325680764,0.034252264051487374,6,2000000,124.68827930174564,True,0.19514241314241268,0.3923076923076923,0.06134615384615385,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,5.0,0.28620085470085505,0.37355769230769226,0.2053205128205128,0.34702023854077263,0.3712311557788945,0.35598503740648374,1488.2444444444411,0.5404506431352227,1523.7555555555489,1452.7333333333333,35.87123921010953,0.04660998410359948,6,2000000,124.68827930174564,True,0.19514241314241268,0.3923076923076923,0.06134615384615385,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
twitter,Twitter,0.0,0.011304991539763115,0.02062182741116751,0.0026015228426395937,0.01831439882506243,0.38046292976375445,0.33558011693634543,178.16666666666507,1.0,182.3333333333302,174.0,7.532030369127831,0.04570383912246983,6,2059240,40.0,True,0.15925411282026955,0.28204314720812185,0.07068527918781727,0.2550389464386092,0.38046292976375445,0.33558011693634543,15760,10667,20.983502538071065,3.598050415075342
twitter,Twitter,2.0,0.06710025380710659,0.09285109983079526,0.04456429780033841,0.07685418127048273,0.38046292976375445,0.33558011693634543,1057.5000000000052,0.8900420914851703,1077.5555555555654,1037.4444444444453,22.432408764177897,0.03722416993195281,6,2059240,40.0,True,0.15925411282026955,0.28204314720812185,0.07068527918781727,0.2550389464386092,0.38046292976375445,0.33558011693634543,15760,10667,20.983502538071065,3.598050415075342
twitter,Twitter,2.5,0.09585272137619855,0.12505287648054145,0.07013536379018613,0.10514329977104897,0.38046292976375445,0.33558011693634543,1510.6388888888985,0.8400567769967648,1519.6111111111302,1501.666666666667,14.768715893264895,0.011808576755761116,6,2059240,40.0,True,0.15925411282026955,0.28204314720812185,0.07068527918781727,0.2550389464386092,0.38046292976375445,0.33558011693634543,15760,10667,20.983502538071065,3.598050415075342
twitter,Twitter,3.0,0.1253666102650874,0.15721235194585448,0.09707064297800339,0.13469720530084894,0.38046292976375445,0.33558011693634543,1975.7777777777956,0.7884877346151725,2030.888888888925,1920.6666666666663,65.24864598189895,0.05427289637817657,6,2059240,40.0,True,0.15925411282026955,0.28204314720812185,0.07068527918781727,0.2550389464386092,0.38046292976375445,0.33558011693634543,15760,10667,20.983502538071065,3.598050415075342
twitter,Twitter,3.5,0.15529469825155104,0.1906091370558376,0.12325507614213199,0.16403778535376126,0.38046292976375445,0.33558011693634543,2447.4444444444644,0.7424606433611981,2555.2222222222626,2339.6666666666665,108.1844561072166,0.08435882941254662,6,2059240,40.0,True,0.15925411282026955,0.28204314720812185,0.07068527918781727,0.2550389464386092,0.38046292976375445,0.33558011693634543,15760,10667,20.983502538071065,3.598050415075342
twitter,Twitter,4.0,0.17548540609137053,0.21643401015228425,0.1369289340101523,0.18900701616671825,0.38046292976375445,0.33558011693634543,2765.6500000000196,0.6992064648613603,2904.3000000000393,2627.0,144.74474819362226,0.09547911717110338,6,2059240,40.0,True,0.15925411282026955,0.28204314720812185,0.07068527918781727,0.2550389464386092,0.38046292976375445,0.33558011693634543,15760,10667,20.983502538071065,3.598050415075342
twitter,Twitter,5.0,0.20566976875352505,0.26320854483925554,0.14973561759729273,0.2333441291412599,0.38046292976375445,0.33558011693634543,3241.3555555555754,0.6332334672774992,3406.488888888929,3076.2222222222226,166.462433384838,0.0969522219033062,6,2059240,40.0,True,0.15925411282026955,0.28204314720812185,0.07068527918781727,0.2550389464386092,0.38046292976375445,0.33558011693634543,15760,10667,20.983502538071065,3.598050415075342
enron,Enron,0.0,0.007508042855560861,0.0166222593734218,0.0011754871741288335,0.015617888381326276,0.18700601293347957,0.16422452995060247,431.1343448948754,1.0,452.8469128824474,409.4217769073034,21.712567987571987,0.09589363367575064,2,13458160,40.0,True,0.045860117835212696,0.11488427981819131,0.01064033575396618,0.1253392173273479,0.18700601293347957,0.16422452995060247,57423,36720,31.33587586855441,2.4228899159037183
enron,Enron,2.0,0.03576492189283281,0.05519565330964944,0.021193598383922818,0.048357231202879596,0.18700601293347957,0.16422452995060247,2053.729109852152,0.9563945883903981,2125.0340701696223,1982.4241495346816,71.30496031747032,0.06710947491941029,2,13458160,40.0,True,0.045860117835212696,0.11488427981819131,0.01064033575396618,0.1253392173273479,0.18700601293347957,0.16422452995060247,57423,36720,31.33587586855441,2.4228899159037183
enron,Enron,2.5,0.047700883904135905,0.06871810946833151,0.031903592637096634,0.06008394851590421,0.18700601293347957,0.16422452995060247,2739.1278564272166,0.9392175888359418,2855.2220395102295,2623.0336733442036,116.09418308301292,0.08132059887218238,2,13458160,40.0,True,0.045860117835212696,0.11488427981819131,0.01064033575396618,0.1253392173273479,0.18700601293347957,0.16422452995060247,57423,36720,31.33587586855441,2.4228899159037183
enron,Enron,3.0,0.05868625523925933,0.0821186632534002,0.04089824634728245,0.07165207105310817,0.18700601293347957,0.16422452995060247,3369.940834604011,0.9209926273554632,3520.847147735347,3219.0345214726744,150.90631313133622,0.08572159301400009,2,13458160,40.0,True,0.045860117835212696,0.11488427981819131,0.01064033575396618,0.1253392173273479,0.18700601293347957,0.16422452995060247,57423,36720,31.33587586855441,2.4228899159037183
enron,Enron,3.5,0.06741990727167203,0.09376033993347613,0.04675826759312471,0.08279956094007204,0.18700601293347957,0.16422452995060247,3871.453335261249,0.9050622504082486,4097.213054343351,3645.693616179147,225.75971908210227,0.11020160098473772,2,13458160,40.0,True,0.045860117835212696,0.11488427981819131,0.01064033575396618,0.1253392173273479,0.18700601293347957,0.16422452995060247,57423,36720,31.33587586855441,2.4228899159037183
enron,Enron,4.0,0.07462343027790157,0.10410462706580986,0.05078975323476656,0.09220267887632622,0.18700601293347957,0.16422452995060247,4285.101236847964,0.8889227322609716,4502.603215936145,4067.5992577597835,217.50197908818063,0.09661165714907854,2,13458160,40.0,True,0.045860117835212696,0.11488427981819131,0.01064033575396618,0.1253392173273479,0.18700601293347957,0.16422452995060247,57423,36720,31.33587586855441,2.4228899159037183
enron,Enron,5.0,0.08608425770950959,0.12200686136217195,0.05584870173972102,0.10961051215756185,0.18700601293347957,0.16422452995060247,4943.216330453177,0.8612525914877445,5262.35273936592,4624.079921540434,319.1364089127428,0.1212903903325936,2,13458160,40.0,True,0.045860117835212696,0.11488427981819131,0.01064033575396618,0.1253392173273479,0.18700601293347957,0.16422452995060247,57423,36720,31.33587586855441,2.4228899159037183
