dataset,stat,theta,R_any,R_some,R_all,graph,Phi,projection_fixed,eff_sweeps,real_R_any,real_R_some,real_R_all,real_graph
Congress bills,pairs,0.0,0.001063401857285387,0.0005269430680634938,2.1411136645874075e-05,0.4618652606125739,76.0,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,pairs,0.5,0.0031694752415292625,0.0017037136524208438,0.00029981797317794884,0.4618652606125739,243.0,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,pairs,1.0,0.0096150319678859,0.005950847671425798,0.0026054171794718797,0.4618652606125739,1161.0,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,pairs,1.5,0.02179812389075883,0.014496478905554507,0.007708587094952375,0.4618652606125739,2631.0,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,pairs,2.0,0.03333877017604013,0.021750206264081175,0.011334196460555938,0.4618652606125739,3789.0,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,norm,-3.0,9.991211829596272e-05,4.28195229241119e-05,0.0,0.4618652606125739,3.0000000000009748,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,norm,-1.5,0.00028548630657254176,0.0001356062604851971,0.0,0.4618652606125739,9.500000000000506,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,norm,0.0,0.001063401857285387,0.0005269430680634938,2.1411136645874075e-05,0.4618652606125739,36.916666666667616,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,norm,1.5,0.005924383485469135,0.003602215703328038,0.0013276326059739403,0.4618652606125739,252.33333333333366,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,norm,3.0,0.017808485863429892,0.012578968792512444,0.007380376405805634,0.4618652606125739,881.1666666666722,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,norm,4.5,0.03290131523941486,0.02237836461990058,0.011754544707437094,0.4618652606125739,1567.7833333333351,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
Congress bills,norm,6.0,0.04415153047355122,0.02882178849238718,0.013380317890543239,0.4618652606125739,2019.4142857142836,True,7.8,0.021927384264212854,0.009278829847076788,0.001483700691918111,0.4618652606125739
