dataset,label,theta,r2_multi,s1_multi,r1_multi,s1_support,graph_binary,graph_weighted,Phi,accept,Phi_real_start,Phi_random_start,Phi_sd,two_start_gap,n_chains,n_steps,sweeps,projection_fixed,real_r2_multi,real_s1_multi,real_r1_multi,real_s1_support,real_graph_binary,real_graph_weighted,n_events,n_teams,pct_dup,theta_hat
dnc,DNC email,3.0,0.2220886752136752,0.2934615384615385,0.162275641025641,0.2568729585348897,0.3712311557788945,0.3559850374064837,1154.8611111111063,0.6721423857970686,1165.599999999991,1144.1222222222225,16.913258186081485,0.0184263707770838,6,2000000,124.68827930174564,True,0.1951424131424126,0.3923076923076923,0.0613461538461538,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,3.5,0.2447435897435899,0.3213141025641026,0.1811217948717948,0.2880628850559351,0.3712311557788945,0.3559850374064837,1272.666666666663,0.6339686293740213,1289.677777777771,1255.655555555555,19.246866026752745,0.0263804050968756,6,2000000,124.68827930174564,True,0.1951424131424126,0.3923076923076923,0.0613461538461538,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,4.0,0.2629775641025644,0.3416025641025641,0.1941987179487179,0.3124348812768792,0.3712311557788945,0.3559850374064837,1367.48333333333,0.5929579890366562,1391.311111111103,1343.6555555555572,24.677638325680764,0.0342522640514873,6,2000000,124.68827930174564,True,0.1951424131424126,0.3923076923076923,0.0613461538461538,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
dnc,DNC email,5.0,0.286200854700855,0.3735576923076922,0.2053205128205128,0.3470202385407726,0.3712311557788945,0.3559850374064837,1488.2444444444411,0.5404506431352227,1523.7555555555489,1452.7333333333331,35.87123921010953,0.0466099841035994,6,2000000,124.68827930174564,True,0.1951424131424126,0.3923076923076923,0.0613461538461538,0.4334887056292578,0.3712311557788945,0.3559850374064838,5200,2112,46.36538461538461,2.489601031657266
wiki,Wiki talk,0.0,0.0062927004674577,0.0125854009349154,0.0,0.0130271619709337,0.1416613007083065,0.1349072512647554,5.833333333333333,1.0,6.66666666666666,5.000000000000006,1.7716909687891078,0.2499999999999983,6,2000000,843.1703204047218,True,0.0258899676375404,0.0463861920172599,0.0064724919093851,0.0494699646643109,0.1416613007083065,0.1349072512647554,927,827,8.414239482200648,1.245714285714286
wiki,Wiki talk,2.0,0.0377562028047464,0.060230133045667,0.0156418554476806,0.0619994286877332,0.1416613007083065,0.1349072512647554,34.99999999999999,0.9080174441179044,32.33333333333332,37.666666666666664,3.0550504633038953,0.1415929203539825,6,2000000,843.1703204047218,True,0.0258899676375404,0.0463861920172599,0.0064724919093851,0.0494699646643109,0.1416613007083065,0.1349072512647554,927,827,8.414239482200648,1.245714285714286
wiki,Wiki talk,2.5,0.0557353469974829,0.0861201006832074,0.0275080906148867,0.0848675253653947,0.1416613007083065,0.1349072512647554,51.666666666666664,0.8725692082185437,48.666666666666664,54.666666666666664,4.109609335312649,0.1097560975609756,6,2000000,843.1703204047218,True,0.0258899676375404,0.0463861920172599,0.0064724919093851,0.0494699646643109,0.1416613007083065,0.1349072512647554,927,827,8.414239482200648,1.245714285714286
wiki,Wiki talk,3.0,0.0716169243677334,0.104638619201726,0.0399137001078748,0.1062004762517587,0.1416613007083065,0.1349072512647554,66.3888888888889,0.8359393251607342,64.55555555555557,68.22222222222223,6.484787516627082,0.053745928338762,6,2000000,843.1703204047218,True,0.0258899676375404,0.0463861920172599,0.0064724919093851,0.0494699646643109,0.1416613007083065,0.1349072512647554,927,827,8.414239482200648,1.245714285714286
wiki,Wiki talk,3.5,0.0834831595349394,0.1197411003236246,0.0485436893203883,0.1204986648261115,0.1416613007083065,0.1349072512647554,77.38888888888889,0.8023830072827155,76.44444444444444,78.33333333333331,2.697163576430739,0.0241134751773047,6,2000000,843.1703204047218,True,0.0258899676375404,0.0463861920172599,0.0064724919093851,0.0494699646643109,0.1416613007083065,0.1349072512647554,927,827,8.414239482200648,1.245714285714286
wiki,Wiki talk,4.0,0.0987055016181229,0.1431139877741819,0.0555555555555555,0.1439161635832773,0.1416613007083065,0.1349072512647554,91.5,0.7735836623351539,92.44444444444446,90.55555555555556,5.035981643246043,0.0204326923076924,6,2000000,843.1703204047218,True,0.0258899676375404,0.0463861920172599,0.0064724919093851,0.0494699646643109,0.1416613007083065,0.1349072512647554,927,827,8.414239482200648,1.245714285714286
wiki,Wiki talk,5.0,0.1147668704303008,0.1652283351312477,0.0658036677454153,0.1632141692474614,0.1416613007083065,0.1349072512647554,106.38888888888889,0.7256474412626831,107.44444444444444,105.33333333333331,1.840055017964357,0.0196483971044467,6,2000000,843.1703204047218,True,0.0258899676375404,0.0463861920172599,0.0064724919093851,0.0494699646643109,0.1416613007083065,0.1349072512647554,927,827,8.414239482200648,1.245714285714286
radoslaw,Manufacturing email,0.0,0.0374012704837394,0.0726663293700986,0.0071464710346572,0.0674392133637479,0.5649218218898708,0.2959957780856257,295.69444444444485,1.0,292.1111111111124,299.2777777777773,6.291570394160895,0.023946537961754,6,2000000,65.96741209842338,True,0.0866125956819899,0.1720212496837844,0.0245383253225398,0.2313497822931785,0.5649218218898708,0.2959957780856257,7906,3014,56.42549962054136,1.1666400570250173
radoslaw,Manufacturing email,2.0,0.1217654664530454,0.184817438232566,0.0694830930095286,0.1574486348262372,0.5649218218898708,0.2959957780856257,962.6777777777784,0.7733539345524232,966.0111111111136,959.3444444444436,20.13272319409068,0.0069012318698922,6,2000000,65.96741209842338,True,0.0866125956819899,0.1720212496837844,0.0245383253225398,0.2313497822931785,0.5649218218898708,0.2959957780856257,7906,3014,56.42549962054136,1.1666400570250173
radoslaw,Manufacturing email,2.5,0.149172218006015,0.2150054810692301,0.0951808752845939,0.1834606604582584,0.5649218218898708,0.2959957780856257,1179.3555555555567,0.7093277408219995,1182.8555555555597,1175.855555555554,25.252808180232982,0.0059178823374741,6,2000000,65.96741209842338,True,0.0866125956819899,0.1720212496837844,0.0245383253225398,0.2313497822931785,0.5649218218898708,0.2959957780856257,7906,3014,56.42549962054136,1.1666400570250173
radoslaw,Manufacturing email,3.0,0.1734357871658656,0.241862720296821,0.1182224470866009,0.205614931045006,0.5649218218898708,0.2959957780856257,1371.1833333333318,0.6516513174814251,1386.0333333333303,1356.3333333333333,19.605287929911796,0.0214280560833052,6,2000000,65.96741209842338,True,0.0866125956819899,0.1720212496837844,0.0245383253225398,0.2313497822931785,0.5649218218898708,0.2959957780856257,7906,3014,56.42549962054136,1.1666400570250173
radoslaw,Manufacturing email,3.5,0.196423953677938,0.2662323973353571,0.1397672653680749,0.2256941187996577,0.5649218218898708,0.2959957780856257,1552.927777777778,0.6051181265048814,1558.9444444444418,1546.911111111114,16.58021373970411,0.0077188981148177,6,2000000,65.96741209842338,True,0.0866125956819899,0.1720212496837844,0.0245383253225398,0.2313497822931785,0.5649218218898708,0.2959957780856257,7906,3014,56.42549962054136,1.1666400570250173
radoslaw,Manufacturing email,4.0,0.2173974758973495,0.2880723501138376,0.15772830761447,0.2438912077682483,0.5649218218898708,0.2959957780856257,1718.7444444444457,0.5648507713183503,1735.511111111112,1701.9777777777788,22.880637671335755,0.0193218776409126,6,2000000,65.96741209842338,True,0.0866125956819899,0.1720212496837844,0.0245383253225398,0.2313497822931785,0.5649218218898708,0.2959957780856257,7906,3014,56.42549962054136,1.1666400570250173
radoslaw,Manufacturing email,5.0,0.2420580712257921,0.3204528206425499,0.1747828653343452,0.2730789217039371,0.5649218218898708,0.2959957780856257,1913.7111111111135,0.5098188261216051,1921.5555555555572,1905.8666666666695,9.743443506174035,0.0081646813923898,6,2000000,65.96741209842338,True,0.0866125956819899,0.1720212496837844,0.0245383253225398,0.2313497822931785,0.5649218218898708,0.2959957780856257,7906,3014,56.42549962054136,1.1666400570250173
higgs,Higgs Twitter,0.0,0.0326848856059527,0.0621146450155668,0.0066947479803837,0.0596589003200725,0.0574549357578053,0.0580236750220001,535.4111111111114,1.0,535.0111111111111,535.8111111111116,3.466595440863316,0.0014930634759356,6,2000000,56.77463309393363,True,0.0451926011842988,0.0869910261888773,0.008973811122642,0.0846932851706121,0.0574549357578053,0.0580236750220001,16381,14814,5.3598681399181975,3.302556192155135
higgs,Higgs Twitter,2.0,0.0411343765473549,0.0763282664875974,0.0097063671326536,0.0731691632432898,0.0574549357578053,0.0580236750220001,673.8222222222226,0.9031303926311026,670.6888888888899,676.9555555555554,6.0529964011300965,0.0092571316022699,6,2000000,56.77463309393363,True,0.0451926011842988,0.0869910261888773,0.008973811122642,0.0846932851706121,0.0574549357578053,0.0580236750220001,16381,14814,5.3598681399181975,3.302556192155135
